trp_1164|Dummy first line
trp_id_271_pl|帝 国 手 枪 骑 兵 
trp_id_272|努 恩 铁 甲 军 
trp_id_272_pl|努 恩 铁 甲 军 
trp_id_273|南 方 帝 国 马 术 大 师 
trp_id_273_pl|南 方 帝 国 马 术 大 师 
trp_id_274|瑞 克 禁 卫 
trp_id_274_pl|瑞 克 禁 卫 
trp_id_275|白 狼 骑 士 
trp_id_275_pl|白 狼 骑 士 
trp_id_276|帝 国 工 程 师 
trp_id_276_pl|帝 国 工 程 师 
trp_id_277|半 狮 鹫 骑 士 
trp_id_277_pl|半 狮 鹫 骑 士 
trp_id_278|西 格 玛 战 斗 牧 师 
trp_id_278_pl|西 格 玛 战 斗 牧 师 
trp_id_279|尤 里 克 战 斗 牧 师 
trp_id_279_pl|尤 里 克 战 斗 牧 师 
trp_id_280|帝 国 食 人 魔 
trp_id_280_pl|帝 国 食 人 魔 
trp_id_281|帝 国 传 令 兵 
trp_id_281_pl|帝 国 传 令 兵 
trp_id_282|帝 国 逃 兵 
trp_id_282_pl|帝 国 逃 兵 
trp_id_283|监 狱 守 卫 
trp_id_283_pl|监 狱 守 卫 
trp_id_284|城 堡 护 卫 
trp_id_284_pl|城 堡 护 卫 
trp_id_285|猎 巫 人 新 兵 
trp_id_285_pl|猎 巫 人 新 兵 
trp_id_286|猎 巫 人 团 员 
trp_id_286_pl|猎 巫 人 团 员 
trp_id_287|帝 国 民 兵 
trp_id_287_pl|帝 国 民 兵 
trp_id_288|帝 国 资 深 民 兵 
trp_id_288_pl|帝 国 资 深 民 兵 
trp_id_289|帝 国 骑 马 民 兵 
trp_id_289_pl|帝 国 骑 马 民 兵 
trp_id_290|帝 国 民 兵 弩 手 
trp_id_290_pl|帝 国 民 兵 弩 手 
trp_id_291|帝 国 民 兵 神 射 手 
trp_id_291_pl|帝 国 民 兵 神 射 手 
trp_id_292|帝 国 民 兵 火 枪 手 
trp_id_292_pl|帝 国 民 兵 火 枪 手 
trp_id_293|猎 巫 人 
trp_id_293_pl|猎 巫 人 
trp_id_294|资 深 猎 巫 人 
trp_id_294_pl|资 深 猎 巫 人 
trp_id_295|猎 巫 人 大 师 
trp_id_295_pl|猎 巫 人 大 师 
trp_id_296|猎 巫 人 将 军 
trp_id_296_pl|猎 巫 人 将 军 
trp_id_297|光 明 巫 师 
trp_id_297_pl|光 明 巫 师 
trp_id_298|黄 金 巫 师 
trp_id_298_pl|黄 金 巫 师 
trp_id_299|炽 焰 巫 师 
trp_id_299_pl|炽 焰 巫 师 
trp_id_300|灰 袍 巫 师 
trp_id_300_pl|灰 袍 巫 师 
trp_id_301|琥 珀 巫 师 
trp_id_301_pl|琥 珀 巫 师 
trp_id_302|天 空 巫 师 
trp_id_302_pl|天 空 巫 师 
trp_id_303|翡 翠 巫 师 
trp_id_303_pl|翡 翠 巫 师 
trp_id_304|紫 晶 巫 师 
trp_id_304_pl|紫 晶 巫 师 
trp_id_305|光 明 巫 师 大 师 
trp_id_305_pl|光 明 巫 师 大 师 
trp_id_306|黄 金 巫 师 大 师 
trp_id_306_pl|黄 金 巫 师 大 师 
trp_id_307|炽 焰 巫 师 大 师 
trp_id_307_pl|炽 焰 巫 师 大 师 
trp_id_308|灰 袍 巫 师 大 师 
trp_id_308_pl|灰 袍 巫 师 大 师 
trp_id_309|琥 珀 巫 师 大 师 
trp_id_309_pl|琥 珀 巫 师 大 师 
trp_id_310|天 空 巫 师 大 师 
trp_id_310_pl|天 空 巫 师 大 师 
trp_id_311|翡 翠 巫 师 大 师 
trp_id_311_pl|翡 翠 巫 师 大 师 
trp_id_312|紫 晶 巫 师 大 师 
trp_id_312_pl|紫 晶 巫 师 大 师 
trp_id_313|光 明 巫 师 宗 师 
trp_id_313_pl|光 明 巫 师 宗 师 
trp_id_314|黄 金 巫 师 宗 师 
trp_id_314_pl|黄 金 巫 师 宗 师 
trp_id_315|炽 焰 巫 师 宗 师 
trp_id_315_pl|炽 焰 巫 师 宗 师 
trp_id_316|灰 袍 巫 师 宗 师 
trp_id_316_pl|灰 袍 巫 师 宗 师 
trp_id_317|琥 珀 巫 师 宗 师 
trp_id_317_pl|琥 珀 巫 师 宗 师 
trp_id_318|天 空 巫 师 宗 师 
trp_id_318_pl|天 空 巫 师 宗 师 
trp_id_319|翡 翠 巫 师 宗 师 
trp_id_319_pl|翡 翠 巫 师 宗 师 
trp_id_320|紫 晶 巫 师 宗 师 
trp_id_320_pl|紫 晶 巫 师 宗 师 
trp_id_321|矮 人 新 兵 
trp_id_321_pl|矮 人 新 兵 
trp_id_322|矮 人 民 兵 
trp_id_322_pl|矮 人 民 兵 
trp_id_323|矮 人 氏 族 战 士 
trp_id_323_pl|矮 人 氏 族 战 士 
trp_id_324|矮 人 弩 手 
trp_id_324_pl|矮 人 弩 手 
trp_id_325|矮 人 资 深 战 士 
trp_id_325_pl|矮 人 资 深 战 士 
trp_id_326|矮 人 资 深 弩 手 
trp_id_326_pl|矮 人 资 深 弩 手 
trp_id_327|矮 人 坑 道 战 士 
trp_id_327_pl|矮 人 坑 道 战 士 
trp_id_328|长 须 战 士 
trp_id_328_pl|长 须 战 士 
trp_id_329|铁 锤 勇 士 
trp_id_329_pl|铁 锤 勇 士 
trp_id_330|矮 人 游 侠 
trp_id_330_pl|矮 人 游 侠 
trp_id_331|雷 鸣 枪 手 
trp_id_331_pl|雷 鸣 枪 手 
trp_id_332|碎 铁 战 士 
trp_id_332_pl|碎 铁 战 士 
trp_id_333|矮 人 工 程 师 
trp_id_333_pl|矮 人 工 程 师 
trp_id_334|屠 夫 
trp_id_334_pl|屠 夫 
trp_id_335|大 师 级 雷 鸣 枪 手 
trp_id_335_pl|大 师 级 雷 鸣 枪 手 
trp_id_336|矮 人 工 程 大 师 
trp_id_336_pl|矮 人 工 程 大 师 
trp_id_337|巨 人 屠 夫 
trp_id_337_pl|巨 人 屠 夫 
trp_id_338|恶 魔 屠 夫 
trp_id_338_pl|恶 魔 屠 夫 
trp_id_339|矮 人 传 令 兵 
trp_id_339_pl|矮 人 传 令 兵 
trp_id_340|矮 人 逃 兵 
trp_id_340_pl|矮 人 逃 兵 
trp_id_341|监 狱 守 卫 
trp_id_341_pl|监 狱 守 卫 
trp_id_342|城 堡 护 卫 
trp_id_342_pl|城 堡 护 卫 
trp_id_343|矮 人 符 文 领 主 
trp_id_343_pl|矮 人 符 文 领 主 
trp_id_344|矮 人 符 文 牧 师 
trp_id_344_pl|矮 人 符 文 牧 师 
trp_id_345|矮 人 矿 工 
trp_id_345_pl|矮 人 矿 工 
trp_id_346|矮 人 资 深 矿 工 
trp_id_346_pl|矮 人 资 深 矿 工 
trp_id_347|矮 人 铁 匠 学 徒 
trp_id_347_pl|矮 人 铁 匠 学 徒 
trp_id_348|矮 人 铁 矿 守 护 者 
trp_id_348_pl|矮 人 铁 矿 守 护 者 
trp_id_349|矮 人 铁 匠 
trp_id_349_pl|矮 人 铁 匠 
trp_id_350|矮 人 铁 匠 大 师 
trp_id_350_pl|矮 人 铁 匠 大 师 
trp_id_351|矮 人 清 道 夫 
trp_id_351_pl|矮 人 清 道 夫 
trp_id_352|矮 人 符 文 铁 匠 
trp_id_352_pl|矮 人 符 文 铁 匠 
trp_id_353|高 精 灵 新 兵 
trp_id_353_pl|高 精 灵 新 兵 
trp_id_354|高 精 灵 征 召 射 手 
trp_id_354_pl|高 精 灵 征 召 射 手 
trp_id_355|高 精 灵 神 射 手 
trp_id_355_pl|高 精 灵 神 射 手 
trp_id_356|高 精 灵 长 矛 兵 
trp_id_356_pl|高 精 灵 长 矛 兵 
trp_id_357|高 精 灵 鹰 眼 射 手 
trp_id_357_pl|高 精 灵 鹰 眼 射 手 
trp_id_358|洛 瑟 恩 海 卫 
trp_id_358_pl|洛 瑟 恩 海 卫 
trp_id_359|艾 里 昂 掠 夺 者 
trp_id_359_pl|艾 里 昂 掠 夺 者 
trp_id_360|高 精 灵 哨 卫 
trp_id_360_pl|高 精 灵 哨 卫 
trp_id_361|洛 瑟 恩 海 卫 队 长 
trp_id_361_pl|洛 瑟 恩 海 卫 队 长 
trp_id_362|纳 迦 瑞 斯 影 武 者 
trp_id_362_pl|纳 迦 瑞 斯 影 武 者 
trp_id_363|荷 思 剑 圣 
trp_id_363_pl|荷 思 剑 圣 
trp_id_364|银 盔 骑 士 
trp_id_364_pl|银 盔 骑 士 
trp_id_365|凤 凰 卫 队 
trp_id_365_pl|凤 凰 卫 队 
trp_id_366|高 盔 冠 军 
trp_id_366_pl|高 盔 冠 军 
trp_id_367|纳 迦 瑞 斯 影 行 者 
trp_id_367_pl|纳 迦 瑞 斯 影 行 者 
trp_id_368|剑 刃 领 主 
trp_id_368_pl|剑 刃 领 主 
trp_id_369|巨 龙 卫 队 
trp_id_369_pl|巨 龙 卫 队 
trp_id_370|查 瑞 斯 白 狮 禁 卫 
trp_id_370_pl|查 瑞 斯 白 狮 禁 卫 
trp_id_371|龙 王 子 
trp_id_371_pl|龙 王 子 
trp_id_372|龙 主 
trp_id_372_pl|龙 主 
trp_id_373|白 狮 贵 族 
trp_id_373_pl|白 狮 贵 族 
trp_id_374|泰 伦 洛 克 战 车 队 长 
trp_id_374_pl|泰 伦 洛 克 战 车 队 长 
trp_id_375|泰 伦 洛 克 驭 手 
trp_id_375_pl|泰 伦 洛 克 驭 手 
trp_id_376|查 瑞 斯 冠 军 战 士 
trp_id_376_pl|查 瑞 斯 冠 军 战 士 
trp_id_377|高 精 灵 信 使 
trp_id_377_pl|高 精 灵 信 使 
trp_id_378|高 精 灵 逃 兵 
trp_id_378_pl|高 精 灵 逃 兵 
trp_id_379|监 狱 守 卫 
trp_id_379_pl|监 狱 守 卫 
trp_id_380|城 堡 护 卫 
trp_id_380_pl|城 堡 护 卫 
trp_id_381|高 精 灵 奎 许 学 徒 法 师 
trp_id_381_pl|高 精 灵 奎 许 学 徒 法 师 
trp_id_382|高 精 灵 光 明 学 徒 法 师 
trp_id_382_pl|高 精 灵 光 明 学 徒 法 师 
trp_id_383|高 精 灵 黄 金 学 徒 法 师 
trp_id_383_pl|高 精 灵 黄 金 学 徒 法 师 
trp_id_384|高 精 灵 炽 焰 学 徒 法 师 
trp_id_384_pl|高 精 灵 炽 焰 学 徒 法 师 
trp_id_385|高 精 灵 灰 袍 学 徒 法 师 
trp_id_385_pl|高 精 灵 灰 袍 学 徒 法 师 
trp_id_386|高 精 灵 琥 珀 学 徒 法 师 
trp_id_386_pl|高 精 灵 琥 珀 学 徒 法 师 
trp_id_387|高 精 灵 天 空 学 徒 法 师 
trp_id_387_pl|高 精 灵 天 空 学 徒 法 师 
trp_id_388|高 精 灵 翡 翠 学 徒 法 师 
trp_id_388_pl|高 精 灵 翡 翠 学 徒 法 师 
trp_id_389|高 精 灵 紫 晶 学 徒 法 师 
trp_id_389_pl|高 精 灵 紫 晶 学 徒 法 师 
trp_id_390|高 精 灵 奎 许 法 师 
trp_id_390_pl|高 精 灵 奎 许 法 师 
trp_id_391|高 精 灵 光 明 法 师 
trp_id_391_pl|高 精 灵 光 明 法 师 
trp_id_392|高 精 灵 黄 金 法 师 
trp_id_392_pl|高 精 灵 黄 金 法 师 
trp_id_393|高 精 灵 炽 焰 法 师 
trp_id_393_pl|高 精 灵 炽 焰 法 师 
trp_id_394|高 精 灵 灰 袍 法 师 
trp_id_394_pl|高 精 灵 灰 袍 法 师 
trp_id_395|高 精 灵 琥 珀 法 师 
trp_id_395_pl|高 精 灵 琥 珀 法 师 
trp_id_396|高 精 灵 天 空 法 师 
trp_id_396_pl|高 精 灵 天 空 法 师 
trp_id_397|高 精 灵 翡 翠 法 师 
trp_id_397_pl|高 精 灵 翡 翠 法 师 
trp_id_398|高 精 灵 紫 晶 法 师 
trp_id_398_pl|高 精 灵 紫 晶 法 师 
trp_id_399|高 精 灵 奎 许 大 法 师 
trp_id_399_pl|高 精 灵 奎 许 大 法 师 
trp_id_400|高 精 灵 光 明 大 法 师 
trp_id_400_pl|高 精 灵 光 明 大 法 师 
trp_id_401|高 精 灵 黄 金 大 法 师 
trp_id_401_pl|高 精 灵 黄 金 大 法 师 
trp_id_402|高 精 灵 炽 焰 大 法 师 
trp_id_402_pl|高 精 灵 炽 焰 大 法 师 
trp_id_403|高 精 灵 灰 袍 大 法 师 
trp_id_403_pl|高 精 灵 灰 袍 大 法 师 
trp_id_404|高 精 灵 琥 珀 大 法 师 
trp_id_404_pl|高 精 灵 琥 珀 大 法 师 
trp_id_405|高 精 灵 天 空 大 法 师 
trp_id_405_pl|高 精 灵 天 空 大 法 师 
trp_id_406|高 精 灵 翡 翠 大 法 师 
trp_id_406_pl|高 精 灵 翡 翠 大 法 师 
trp_id_407|高 精 灵 紫 晶 大 法 师 
trp_id_407_pl|高 精 灵 紫 晶 大 法 师 
trp_id_408|掠 夺 者 族 人 
trp_id_408_pl|掠 夺 者 族 人 
trp_id_409|恐 虐 掠 夺 者 族 人 
trp_id_409_pl|恐 虐 掠 夺 者 族 人 
trp_id_410|色 孽 掠 夺 者 族 人 
trp_id_410_pl|色 孽 掠 夺 者 族 人 
trp_id_411|纳 垢 掠 夺 者 族 人 
trp_id_411_pl|纳 垢 掠 夺 者 族 人 
trp_id_412|奸 奇 掠 夺 者 族 人 
trp_id_412_pl|奸 奇 掠 夺 者 族 人 
trp_id_413|掠 夺 者 
trp_id_413_pl|掠 夺 者 
trp_id_414|掠 夺 者 掷 斧 手 
trp_id_414_pl|掠 夺 者 掷 斧 手 
trp_id_415|恐 虐 掠 夺 者 
trp_id_415_pl|恐 虐 掠 夺 者 
trp_id_416|色 孽 掠 夺 者 
trp_id_416_pl|色 孽 掠 夺 者 
trp_id_417|纳 垢 掠 夺 者 
trp_id_417_pl|纳 垢 掠 夺 者 
trp_id_418|奸 奇 掠 夺 者 
trp_id_418_pl|奸 奇 掠 夺 者 
trp_id_419|资 深 掠 夺 者 
trp_id_419_pl|资 深 掠 夺 者 
trp_id_420|混 沌 格 斗 士 
trp_id_420_pl|混 沌 格 斗 士 
trp_id_421|掠 夺 者 猎 手 
trp_id_421_pl|掠 夺 者 猎 手 
trp_id_422|恐 虐 资 深 掠 夺 者 
trp_id_422_pl|恐 虐 资 深 掠 夺 者 
trp_id_423|色 孽 资 深 掠 夺 者 
trp_id_423_pl|色 孽 资 深 掠 夺 者 
trp_id_424|纳 垢 资 深 掠 夺 者 
trp_id_424_pl|纳 垢 资 深 掠 夺 者 
trp_id_425|奸 奇 资 深 掠 夺 者 
trp_id_425_pl|奸 奇 资 深 掠 夺 者 
trp_id_426|混 沌 女 猎 手 
trp_id_426_pl|混 沌 女 猎 手 
trp_id_427|掠 夺 者 冠 军 
trp_id_427_pl|掠 夺 者 冠 军 
trp_id_428|掠 夺 者 狂 战 士 
trp_id_428_pl|掠 夺 者 狂 战 士 
trp_id_429|混 沌 资 深 格 斗 士 
trp_id_429_pl|混 沌 资 深 格 斗 士 
trp_id_430|掠 夺 者 资 深 猎 手 
trp_id_430_pl|掠 夺 者 资 深 猎 手 
trp_id_431|恐 虐 掠 夺 者 冠 军 
trp_id_431_pl|恐 虐 掠 夺 者 冠 军 
trp_id_432|色 孽 掠 夺 者 冠 军 
trp_id_432_pl|色 孽 掠 夺 者 冠 军 
trp_id_433|纳 垢 掠 夺 者 冠 军 
trp_id_433_pl|纳 垢 掠 夺 者 冠 军 
trp_id_434|奸 奇 掠 夺 者 冠 军 
trp_id_434_pl|奸 奇 掠 夺 者 冠 军 
trp_id_435|恐 虐 狂 战 士 
trp_id_435_pl|恐 虐 狂 战 士 
trp_id_436|色 孽 狂 战 士 
trp_id_436_pl|色 孽 狂 战 士 
trp_id_437|纳 垢 狂 战 士 
trp_id_437_pl|纳 垢 狂 战 士 
trp_id_438|奸 奇 狂 战 士 
trp_id_438_pl|奸 奇 狂 战 士 
trp_id_439|混 沌 资 深 女 猎 手 
trp_id_439_pl|混 沌 资 深 女 猎 手 
trp_id_440|混 沌 斗 坑 之 王 
trp_id_440_pl|混 沌 斗 坑 之 王 
trp_id_441|掠 夺 者 骑 马 猎 手 
trp_id_441_pl|掠 夺 者 骑 马 猎 手 
trp_id_442|掠 夺 者 骑 兵 
trp_id_442_pl|掠 夺 者 骑 兵 
trp_id_443|混 沌 勇 士 
trp_id_443_pl|混 沌 勇 士 
trp_id_444|色 孽 勇 士 
trp_id_444_pl|色 孽 勇 士 
trp_id_445|奸 奇 勇 士 
trp_id_445_pl|奸 奇 勇 士 
trp_id_446|恐 虐 勇 士 
trp_id_446_pl|恐 虐 勇 士 
trp_id_447|纳 垢 勇 士 
trp_id_447_pl|纳 垢 勇 士 
trp_id_448|混 沌 女 猎 手 首 领 
trp_id_448_pl|混 沌 女 猎 手 首 领 
trp_id_449|色 孽 欲 魔 
trp_id_449_pl|色 孽 欲 魔 
trp_id_450|纳 垢 灵 
trp_id_450_pl|纳 垢 灵 
trp_id_451|放 血 鬼 
trp_id_451_pl|放 血 鬼 
trp_id_452|奸 奇 火 妖 
trp_id_452_pl|奸 奇 火 妖 
trp_id_453|混 沌 骑 士 
trp_id_453_pl|混 沌 骑 士 
trp_id_454|混 沌 冠 军 
trp_id_454_pl|混 沌 冠 军 
trp_id_455|色 孽 骑 士 
trp_id_455_pl|色 孽 骑 士 
trp_id_456|奸 奇 骑 士 
trp_id_456_pl|奸 奇 骑 士 
trp_id_457|恐 虐 骑 士 
trp_id_457_pl|恐 虐 骑 士 
trp_id_458|纳 垢 骑 士 
trp_id_458_pl|纳 垢 骑 士 
trp_id_459|色 孽 冠 军 勇 士 
trp_id_459_pl|色 孽 冠 军 勇 士 
trp_id_460|奸 奇 冠 军 勇 士 
trp_id_460_pl|奸 奇 冠 军 勇 士 
trp_id_461|恐 虐 冠 军 勇 士 
trp_id_461_pl|恐 虐 冠 军 勇 士 
trp_id_462|纳 垢 冠 军 勇 士 
trp_id_462_pl|纳 垢 冠 军 勇 士 
trp_id_463|色 孽 寻 觅 者 
trp_id_463_pl|色 孽 寻 觅 者 
trp_id_464|持 瘟 者 
trp_id_464_pl|持 瘟 者 
trp_id_465|血 吼 
trp_id_465_pl|血 吼 
trp_id_466|高 等 奸 奇 火 妖 
trp_id_466_pl|高 等 奸 奇 火 妖 
trp_id_467|混 沌 神 选 者 
trp_id_467_pl|混 沌 神 选 者 
trp_id_468|色 孽 神 选 者 
trp_id_468_pl|色 孽 神 选 者 
trp_id_469|奸 奇 神 选 者 
trp_id_469_pl|奸 奇 神 选 者 
trp_id_470|纳 垢 神 选 者 
trp_id_470_pl|纳 垢 神 选 者 
trp_id_471|恐 虐 神 选 者 
trp_id_471_pl|恐 虐 神 选 者 
trp_id_472|恐 虐 恶 魔 王 子 
trp_id_472_pl|恐 虐 恶 魔 王 子 
trp_id_473|奸 奇 恶 魔 王 子 
trp_id_473_pl|奸 奇 恶 魔 王 子 
trp_id_474|色 孽 恶 魔 王 子 
trp_id_474_pl|色 孽 恶 魔 王 子 
trp_id_475|纳 垢 恶 魔 王 子 
trp_id_475_pl|纳 垢 恶 魔 王 子 
trp_id_476|胆 汁 巨 魔 
trp_id_476_pl|胆 汁 巨 魔 
trp_id_477|混 沌 战 车 
trp_id_477_pl|混 沌 战 车 
trp_id_478|色 孽 战 车 驭 手 
trp_id_478_pl|色 孽 战 车 驭 手 
trp_id_479|混 沌 炽 焰 法 师 
trp_id_479_pl|混 沌 炽 焰 法 师 
trp_id_480|混 沌 纳 垢 法 师 
trp_id_480_pl|混 沌 纳 垢 法 师 
trp_id_481|混 沌 紫 晶 法 师 
trp_id_481_pl|混 沌 紫 晶 法 师 
trp_id_482|混 沌 色 孽 法 师 
trp_id_482_pl|混 沌 色 孽 法 师 
trp_id_483|混 沌 灰 袍 法 师 
trp_id_483_pl|混 沌 灰 袍 法 师 
trp_id_484|混 沌 奸 奇 法 师 
trp_id_484_pl|混 沌 奸 奇 法 师 
trp_id_485|混 沌 黄 金 法 师 
trp_id_485_pl|混 沌 黄 金 法 师 
trp_id_486|炽 焰 混 沌 尊 荣 术 士 
trp_id_486_pl|炽 焰 混 沌 尊 荣 术 士 
trp_id_487|纳 垢 混 沌 尊 荣 术 士 
trp_id_487_pl|纳 垢 混 沌 尊 荣 术 士 
trp_id_488|紫 晶 混 沌 尊 荣 术 士 
trp_id_488_pl|紫 晶 混 沌 尊 荣 术 士 
trp_id_489|色 孽 混 沌 尊 荣 术 士 
trp_id_489_pl|色 孽 混 沌 尊 荣 术 士 
trp_id_490|灰 袍 混 沌 尊 荣 术 士 
trp_id_490_pl|灰 袍 混 沌 尊 荣 术 士 
trp_id_491|奸 奇 混 沌 尊 荣 术 士 
trp_id_491_pl|奸 奇 混 沌 尊 荣 术 士 
trp_id_492|黄 金 混 沌 尊 荣 术 士 
trp_id_492_pl|黄 金 混 沌 尊 荣 术 士 
trp_id_493|炽 焰 混 沌 术 士 领 主 
trp_id_493_pl|炽 焰 混 沌 术 士 领 主 
trp_id_494|纳 垢 混 沌 术 士 领 主 
trp_id_494_pl|纳 垢 混 沌 术 士 领 主 
trp_id_495|紫 晶 混 沌 术 士 领 主 
trp_id_495_pl|紫 晶 混 沌 术 士 领 主 
trp_id_496|色 孽 混 沌 术 士 领 主 
trp_id_496_pl|色 孽 混 沌 术 士 领 主 
trp_id_497|灰 袍 混 沌 术 士 领 主 
trp_id_497_pl|灰 袍 混 沌 术 士 领 主 
trp_id_498|奸 奇 混 沌 术 士 领 主 
trp_id_498_pl|奸 奇 混 沌 术 士 领 主 
trp_id_499|黄 金 混 沌 术 士 领 主 
trp_id_499_pl|黄 金 混 沌 术 士 领 主 
trp_id_500|混 沌 战 车 队 员 
trp_id_500_pl|混 沌 战 车 队 员 
trp_id_501|混 沌 信 使 
trp_id_501_pl|混 沌 信 使 
trp_id_502|混 沌 逃 兵 
trp_id_502_pl|混 沌 逃 兵 
trp_id_503|监 狱 守 卫 
trp_id_503_pl|监 狱 守 卫 
trp_id_504|城 堡 护 卫 
trp_id_504_pl|城 堡 护 卫 
trp_id_505|混 沌 矮 人 奴 贩 
trp_id_505_pl|混 沌 矮 人 奴 贩 
trp_id_506|混 沌 矮 人 勇 士 
trp_id_506_pl|混 沌 矮 人 勇 士 
trp_id_507|大 地 精 卡 拉 什 
trp_id_507_pl|大 地 精 卡 拉 什 
trp_id_508|混 沌 矮 人 资 深 勇 士 
trp_id_508_pl|混 沌 矮 人 资 深 勇 士 
trp_id_509|混 沌 矮 人 弩 手 
trp_id_509_pl|混 沌 矮 人 弩 手 
trp_id_510|大 地 精 勇 士 
trp_id_510_pl|大 地 精 勇 士 
trp_id_511|混 沌 矮 人 资 深 弩 手 
trp_id_511_pl|混 沌 矮 人 资 深 弩 手 
trp_id_512|混 沌 矮 人 炼 狱 守 卫 
trp_id_512_pl|混 沌 矮 人 炼 狱 守 卫 
trp_id_513|大 地 精 阴 险 小 子 
trp_id_513_pl|大 地 精 阴 险 小 子 
trp_id_514|大 地 精 明 安 
trp_id_514_pl|大 地 精 明 安 
trp_id_515|混 沌 矮 人 黑 曜 石 守 卫 
trp_id_515_pl|混 沌 矮 人 黑 曜 石 守 卫 
trp_id_516|混 沌 矮 人 火 刃 枪 手 
trp_id_516_pl|混 沌 矮 人 火 刃 枪 手 
trp_id_517|大 地 精 达 尔 罕 
trp_id_517_pl|大 地 精 达 尔 罕 
trp_id_518|大 地 精 满 都 海 
trp_id_518_pl|大 地 精 满 都 海 
trp_id_519|混 沌 矮 人 铁 匠 
trp_id_519_pl|混 沌 矮 人 铁 匠 
trp_id_520|炼 狱 守 卫 
trp_id_520_pl|炼 狱 守 卫 
trp_id_521|混 沌 矮 人 歼 灭 者 
trp_id_521_pl|混 沌 矮 人 歼 灭 者 
trp_id_522|大 地 精 怯 薛 
trp_id_522_pl|大 地 精 怯 薛 
trp_id_523|炼 狱 守 卫 铁 誓 者 
trp_id_523_pl|炼 狱 守 卫 铁 誓 者 
trp_id_524|地 狱 火 混 沌 矮 人 
trp_id_524_pl|地 狱 火 混 沌 矮 人 
trp_id_525|凯 达 破 坏 者 
trp_id_525_pl|凯 达 破 坏 者 
trp_id_526|混 沌 矮 人 炽 焰 法 师 
trp_id_526_pl|混 沌 矮 人 炽 焰 法 师 
trp_id_527|混 沌 矮 人 黄 金 法 师 
trp_id_527_pl|混 沌 矮 人 黄 金 法 师 
trp_id_528|混 沌 矮 人 紫 晶 法 师 
trp_id_528_pl|混 沌 矮 人 紫 晶 法 师 
trp_id_529|混 沌 矮 人 炽 焰 法 师 先 知 
trp_id_529_pl|混 沌 矮 人 炽 焰 法 师 先 知 
trp_id_530|混 沌 矮 人 黄 金 法 师 先 知 
trp_id_530_pl|混 沌 矮 人 黄 金 法 师 先 知 
trp_id_531|混 沌 矮 人 紫 晶 法 师 先 知 
trp_id_531_pl|混 沌 矮 人 紫 晶 法 师 先 知 
trp_id_532|混 沌 矮 人 炽 焰 大 法 师 
trp_id_532_pl|混 沌 矮 人 炽 焰 大 法 师 
trp_id_533|混 沌 矮 人 黄 金 大 法 师 
trp_id_533_pl|混 沌 矮 人 黄 金 大 法 师 
trp_id_534|混 沌 矮 人 紫 晶 大 法 师 
trp_id_534_pl|混 沌 矮 人 紫 晶 大 法 师 
trp_id_535|混 沌 矮 人 信 使 
trp_id_535_pl|混 沌 矮 人 信 使 
trp_id_536|混 沌 矮 人 逃 兵 
trp_id_536_pl|混 沌 矮 人 逃 兵 
trp_id_537|城 堡 守 卫 
trp_id_537_pl|城 堡 守 卫 
trp_id_538|监 狱 守 卫 
trp_id_538_pl|监 狱 守 卫 
trp_id_539|复 生 者 
trp_id_539_pl|复 生 者 
trp_id_540|骷 髅 长 矛 兵 
trp_id_540_pl|骷 髅 长 矛 兵 
trp_id_541|古 墓 射 手 
trp_id_541_pl|古 墓 射 手 
trp_id_542|古 墓 武 器 大 师 
trp_id_542_pl|古 墓 武 器 大 师 
trp_id_543|古 墓 神 射 手 
trp_id_543_pl|古 墓 神 射 手 
trp_id_544|古 墓 卫 队 
trp_id_544_pl|古 墓 卫 队 
trp_id_545|古 墓 射 手 大 师 
trp_id_545_pl|古 墓 射 手 大 师 
trp_id_546|古 墓 骑 兵 
trp_id_546_pl|古 墓 骑 兵 
trp_id_547|古 墓 冠 军 
trp_id_547_pl|古 墓 冠 军 
trp_id_548|阿 萨 芙 复 仇 者 
trp_id_548_pl|阿 萨 芙 复 仇 者 
trp_id_549|古 墓 枪 骑 兵 
trp_id_549_pl|古 墓 枪 骑 兵 
trp_id_550|尖 啸 颅 骨 投 掷 者 
trp_id_550_pl|尖 啸 颅 骨 投 掷 者 
trp_id_551|古 墓 骷 髅 马 弓 手 
trp_id_551_pl|古 墓 骷 髅 马 弓 手 
trp_id_552|古 墓 骑 士 
trp_id_552_pl|古 墓 骑 士 
trp_id_553|尖 啸 颅 骨 神 射 手 
trp_id_553_pl|尖 啸 颅 骨 神 射 手 
trp_id_554|木 乃 伊 
trp_id_554_pl|木 乃 伊 
trp_id_555|墓 地 骑 士 
trp_id_555_pl|墓 地 骑 士 
trp_id_556|远 古 木 乃 伊 
trp_id_556_pl|远 古 木 乃 伊 
trp_id_557|乌 沙 比 特 
trp_id_557_pl|乌 沙 比 特 
trp_id_558|尼 赫 卡 拉 战 车 队 长 
trp_id_558_pl|尼 赫 卡 拉 战 车 队 长 
trp_id_559|尼 赫 卡 拉 冠 军 战 士 
trp_id_559_pl|尼 赫 卡 拉 冠 军 战 士 
trp_id_560|尼 赫 喀 拉 勇 士 
trp_id_560_pl|尼 赫 喀 拉 勇 士 
trp_id_561|尼 赫 喀 拉 资 深 勇 士 
trp_id_561_pl|尼 赫 喀 拉 资 深 勇 士 
trp_id_562|尼 赫 喀 拉 守 护 者 
trp_id_562_pl|尼 赫 喀 拉 守 护 者 
