itm_1164|Dummy first line
itm_prince_thieves_helm|阿 拉 比 链 甲 皮 盔
itm_prince_thieves_helm_pl|阿 拉 比 链 甲 皮 盔
itm_sarranid_helmet1|阿 拉 比 盔 
itm_sarranid_helmet1_pl|阿 拉 比 盔 
itm_sarranid_horseman_helmet|阿 拉 比 盔 
itm_sarranid_horseman_helmet_pl|阿 拉 比 盔 
itm_mail_turban|链 甲 头 巾 
itm_mail_turban_pl|链 甲 头 巾 
itm_mail_turban2|链 甲 头 巾 
itm_mail_turban2_pl|链 甲 头 巾 
itm_mail_turban3|链 甲 头 巾 
itm_mail_turban3_pl|链 甲 头 巾 
itm_sarranid_mail_coif|阿 拉 比 链 甲 头 肩 巾 
itm_sarranid_mail_coif_pl|阿 拉 比 链 甲 头 肩 巾 
itm_sarranid_veiled_helmet|阿 拉 比 遮 面 盔 
itm_sarranid_veiled_helmet_pl|阿 拉 比 遮 面 盔 
itm_brass_veiled_helmet|阿 拉 比 马 穆 鲁 克 盔 
itm_brass_veiled_helmet_pl|阿 拉 比 马 穆 鲁 克 盔 
itm_brass_mamluke_mail|阿 拉 比 马 穆 鲁 克 甲 
itm_brass_mamluke_mail_pl|阿 拉 比 马 穆 鲁 克 甲 
itm_brass_mail_mittens|阿 拉 比 链 甲 手 套 
itm_brass_mail_mittens_pl|阿 拉 比 链 甲 手 套 
itm_mail_boots_brass|阿 拉 比 链 甲 靴 
itm_mail_boots_brass_pl|阿 拉 比 链 甲 靴 
itm_khergit_guard_armor|阿 拉 比 军 官 甲 
itm_khergit_guard_armor_pl|阿 拉 比 军 官 甲 
itm_khergit_guard_boots|阿 拉 比 军 官 靴 
itm_khergit_guard_boots_pl|阿 拉 比 军 官 靴 
itm_khergit_guard_helmet|阿 拉 比 军 官 盔 
itm_khergit_guard_helmet_pl|阿 拉 比 军 官 盔 
itm_araby_lord_armor2|阿 拉 比 精 英 甲 
itm_araby_lord_armor2_pl|阿 拉 比 精 英 甲 
itm_araby_lord_armor|阿 拉 比 领 主 护 甲 
itm_araby_lord_armor_pl|阿 拉 比 领 主 护 甲 
itm_araby_royal_armor|阿 拉 比 皇 家 甲 
itm_araby_royal_armor_pl|阿 拉 比 皇 家 甲 
itm_araby_lord_armor3|阿 拉 比 酋 长 甲 
itm_araby_lord_armor3_pl|阿 拉 比 酋 长 甲 
itm_archers_vest|射 手 棉 背 心 
itm_archers_vest_pl|射 手 棉 背 心 
itm_sarranid_cloth_robe|旧 长 袍 
itm_sarranid_cloth_robe_pl|旧 长 袍 
itm_sarranid_cloth_robe_b|旧 长 袍 
itm_sarranid_cloth_robe_b_pl|旧 长 袍 
itm_araby_lord_robe|领 主 长 袍 
itm_araby_lord_robe_pl|领 主 长 袍 
itm_sarranid_dress_a|连 衣 裙 
itm_sarranid_dress_a_pl|连 衣 裙 
itm_sarranid_dress_b|连 衣 裙 
itm_sarranid_dress_b_pl|连 衣 裙 
itm_sarranid_head_cloth|女 式 头 布 
itm_sarranid_head_cloth_pl|女 式 头 布 
itm_sarranid_head_cloth_b|女 式 头 布 
itm_sarranid_head_cloth_b_pl|女 式 头 布 
itm_sarranid_felt_head_cloth|头 布 
itm_sarranid_felt_head_cloth_pl|头 布 
itm_sarranid_felt_head_cloth_b|头 布 
itm_sarranid_felt_head_cloth_b_pl|头 布 
itm_sarranid_lady_dress|阿 拉 比 连 衣 裙 
itm_sarranid_lady_dress_pl|阿 拉 比 连 衣 裙 
itm_sarranid_lady_dress_b|阿 拉 比 连 衣 裙 
itm_sarranid_lady_dress_b_pl|阿 拉 比 连 衣 裙 
itm_sarranid_common_dress|阿 拉 比 裙 
itm_sarranid_common_dress_pl|阿 拉 比 裙 
itm_sarranid_common_dress_b|阿 拉 比 裙 
itm_sarranid_common_dress_b_pl|阿 拉 比 裙 
itm_peasant_archer|民 兵 射 手 装 
itm_peasant_archer_pl|民 兵 射 手 装 
itm_tunic_with_green_cape|民 兵 射 手 短 袍 
itm_tunic_with_green_cape_pl|民 兵 射 手 短 袍 
itm_battle_pilgrim_armor|破 烂 甲 
itm_battle_pilgrim_armor_pl|破 烂 甲 
itm_battle_pilgrim_sandles|朝 圣 者 凉 鞋 
itm_battle_pilgrim_sandles_pl|朝 圣 者 凉 鞋 
itm_bret_aketon|棉 甲 
itm_bret_aketon_pl|棉 甲 
itm_narf_hose|羊 毛 袜 
itm_narf_hose_pl|羊 毛 袜 
itm_chapelcloth1|锅 盔 
itm_chapelcloth1_pl|锅 盔 
itm_chapelcloth2|锅 盔 
itm_chapelcloth2_pl|锅 盔 
itm_chapelcloth3|锅 盔 
itm_chapelcloth3_pl|锅 盔 
itm_brigandine_green|镶 甲 
itm_brigandine_green_pl|镶 甲 
itm_hose_kneecops_green|护 膝 羊 毛 袜 
itm_hose_kneecops_green_pl|护 膝 羊 毛 袜 
itm_chapelmail1|锅 盔 
itm_chapelmail1_pl|锅 盔 
itm_chapelmail2|锅 盔 
itm_chapelmail2_pl|锅 盔 
itm_chapelmail3|锅 盔 
itm_chapelmail3_pl|锅 盔 
itm_arms_aketon|棉 甲 
itm_arms_aketon_pl|棉 甲 
itm_bretonnian_mail_coif|锁 子 头 巾 
itm_bretonnian_mail_coif_pl|锁 子 头 巾 
itm_brigandine_red1|镶 甲 
itm_brigandine_red1_pl|镶 甲 
itm_hose_kneecops_red|护 膝 羊 毛 袜 
itm_hose_kneecops_red_pl|护 膝 羊 毛 袜 
itm_brigandine_blue_mail|镶 甲 
itm_brigandine_blue_mail_pl|镶 甲 
itm_brigandine_green_mail|镶 甲 
itm_brigandine_green_mail_pl|镶 甲 
itm_early_transitional_heraldic|贵 族 锁 链 板 甲 
itm_early_transitional_heraldic_pl|贵 族 锁 链 板 甲 
itm_leoncour|皇 家 板 链 甲 
itm_leoncour_pl|皇 家 板 链 甲 
itm_parravon_noble|帕 拉 翁 贵 族 板 链 甲 
itm_parravon_noble_pl|帕 拉 翁 贵 族 板 链 甲 
itm_quenelles_noble|奎 那 利 斯 贵 族 板 链 甲 
itm_quenelles_noble_pl|奎 那 利 斯 贵 族 板 链 甲 
itm_mousillon_noble|穆 席 隆 贵 族 板 链 甲 
itm_mousillon_noble_pl|穆 席 隆 贵 族 板 链 甲 
itm_artois_noble|阿 图 瓦 贵 族 板 链 甲 
itm_artois_noble_pl|阿 图 瓦 贵 族 板 链 甲 
itm_bastonne_noble|巴 斯 托 涅 贵 族 板 链 甲 
itm_bastonne_noble_pl|巴 斯 托 涅 贵 族 板 链 甲 
itm_bordeleaux_noble|波 尔 德 罗 贵 族 板 链 甲 
itm_bordeleaux_noble_pl|波 尔 德 罗 贵 族 板 链 甲 
itm_carcassone_noble|卡 尔 卡 松 贵 族 板 链 甲 
itm_carcassone_noble_pl|卡 尔 卡 松 贵 族 板 链 甲 
itm_languille_noble|勒 安 古 朗 贵 族 板 链 甲 
itm_languille_noble_pl|勒 安 古 朗 贵 族 板 链 甲 
itm_brionne_noble|布 利 奥 涅 贵 族 板 链 甲 
itm_brionne_noble_pl|布 利 奥 涅 贵 族 板 链 甲 
itm_montfort_noble|蒙 特 福 特 贵 族 板 链 甲 
itm_montfort_noble_pl|蒙 特 福 特 贵 族 板 链 甲 
itm_lyonesse_noble|里 昂 尼 斯 贵 族 板 链 甲 
itm_lyonesse_noble_pl|里 昂 尼 斯 贵 族 板 链 甲 
itm_gisoraux_noble|吉 索 莱 奥 贵 族 板 链 甲 
itm_gisoraux_noble_pl|吉 索 莱 奥 贵 族 板 链 甲 
itm_mousillon_knight|穆 席 隆 骑 士 板 链 甲 
itm_mousillon_knight_pl|穆 席 隆 骑 士 板 链 甲 
itm_brionne_knight|布 利 奥 涅 骑 士 板 链 甲 
itm_brionne_knight_pl|布 利 奥 涅 骑 士 板 链 甲 
itm_montfort_knight|蒙 特 福 特 骑 士 板 链 甲 
itm_montfort_knight_pl|蒙 特 福 特 骑 士 板 链 甲 
itm_couronne_knight|哥 隆 尼 骑 士 板 链 甲 
itm_couronne_knight_pl|哥 隆 尼 骑 士 板 链 甲 
itm_parravon_knight|帕 拉 翁 骑 士 板 链 甲 
itm_parravon_knight_pl|帕 拉 翁 骑 士 板 链 甲 
itm_languille_knight|勒 安 古 朗 骑 士 板 链 甲 
itm_languille_knight_pl|勒 安 古 朗 骑 士 板 链 甲 
itm_gisoraux_knight|吉 索 莱 奥 骑 士 板 链 甲 
itm_gisoraux_knight_pl|吉 索 莱 奥 骑 士 板 链 甲 
itm_bastonne_knight|巴 斯 托 涅 骑 士 板 链 甲 
itm_bastonne_knight_pl|巴 斯 托 涅 骑 士 板 链 甲 
itm_artois_knight|阿 图 瓦 骑 士 板 链 甲 
itm_artois_knight_pl|阿 图 瓦 骑 士 板 链 甲 
itm_quennelles_knight|奎 那 利 斯 骑 士 板 链 甲 
itm_quennelles_knight_pl|奎 那 利 斯 骑 士 板 链 甲 
itm_carcassone_knight|卡 尔 卡 松 骑 士 板 链 甲 
itm_carcassone_knight_pl|卡 尔 卡 松 骑 士 板 链 甲 
itm_bordeleaux_knight|波 尔 德 罗 骑 士 板 链 甲 
itm_bordeleaux_knight_pl|波 尔 德 罗 骑 士 板 链 甲 
itm_lyonesse_knight|里 昂 尼 斯 骑 士 板 链 甲 
itm_lyonesse_knight_pl|里 昂 尼 斯 骑 士 板 链 甲 
itm_transitional_blue|探 险 骑 士 锁 链 板 甲 
itm_transitional_blue_pl|探 险 骑 士 锁 链 板 甲 
itm_transitional_bluepeg|探 险 骑 士 锁 链 板 甲 
itm_transitional_bluepeg_pl|探 险 骑 士 锁 链 板 甲 
itm_transitional_bluefull|探 险 骑 士 锁 链 板 甲 
itm_transitional_bluefull_pl|探 险 骑 士 锁 链 板 甲 
itm_transitional_redboar|圣 杯 骑 士 锁 链 板 甲 
itm_transitional_redboar_pl|圣 杯 骑 士 锁 链 板 甲 
itm_transitional_red|圣 杯 骑 士 锁 链 板 甲 
itm_transitional_red_pl|圣 杯 骑 士 锁 链 板 甲 
itm_transitional_redlion|圣 杯 骑 士 锁 链 板 甲 
itm_transitional_redlion_pl|圣 杯 骑 士 锁 链 板 甲 
itm_brett_steel_greaves|钢 护 胫 
itm_brett_steel_greaves_pl|钢 护 胫 
itm_brett_greaves|王 国 骑 士 护 胫 
itm_brett_greaves_pl|王 国 骑 士 护 胫 
itm_transitional_paladin|圣 骑 锁 链 板 甲 
itm_transitional_paladin_pl|圣 骑 锁 链 板 甲 
itm_paladin_knights_helm|圣 骑 士 盔 
itm_paladin_knights_helm_pl|圣 骑 士 盔 
itm_bretonnia_bascinet|巴 托 尼 亚 头 盔 
itm_bretonnia_bascinet_pl|巴 托 尼 亚 头 盔 
itm_bretonnia_bascinet_2|巴 托 尼 亚 头 盔 
itm_bretonnia_bascinet_2_pl|巴 托 尼 亚 头 盔 
itm_questing_helm_castle|探 险 骑 士 盔 
itm_questing_helm_castle_pl|探 险 骑 士 盔 
itm_questing_knights_helm_1|探 险 骑 士 盔 
itm_questing_knights_helm_1_pl|探 险 骑 士 盔 
itm_questing_knights_helm_h|探 险 骑 士 盔 
itm_questing_knights_helm_h_pl|探 险 骑 士 盔 
itm_grail_helm_ram|圣 杯 骑 士 盔 
itm_grail_helm_ram_pl|圣 杯 骑 士 盔 
itm_grail_knights_helm_2|圣 杯 骑 士 盔 
itm_grail_knights_helm_2_pl|圣 杯 骑 士 盔 
itm_grail_knights_helm_1|圣 杯 骑 士 盔 
itm_grail_knights_helm_1_pl|圣 杯 骑 士 盔 
itm_hourglass_gauntlets_ornate|华 丽 沙 漏 护 手 
itm_hourglass_gauntlets_ornate_pl|华 丽 沙 漏 护 手 
itm_hourglass_gauntlets|沙 漏 护 手 
itm_hourglass_gauntlets_pl|沙 漏 护 手 
itm_quenelles_helm|奎 那 利 斯 骑 士 盔 
itm_quenelles_helm_pl|奎 那 利 斯 骑 士 盔 
itm_artois_helm|阿 图 瓦 骑 士 盔 
itm_artois_helm_pl|阿 图 瓦 骑 士 盔 
itm_bastonne_helm|巴 斯 托 涅 骑 士 盔 
itm_bastonne_helm_pl|巴 斯 托 涅 骑 士 盔 
itm_bordelaux_helm|波 尔 德 罗 骑 士 盔 
itm_bordelaux_helm_pl|波 尔 德 罗 骑 士 盔 
itm_realm_armour1|王 国 骑 士 板 甲 
itm_realm_armour1_pl|王 国 骑 士 板 甲 
itm_realm_armour2|王 国 骑 士 板 甲 
itm_realm_armour2_pl|王 国 骑 士 板 甲 
itm_realm_helm_1|王 国 骑 士 盔 
itm_realm_helm_1_pl|王 国 骑 士 盔 
itm_realm_helm_2|王 国 骑 士 盔 
itm_realm_helm_2_pl|王 国 骑 士 盔 
itm_lords_helm_1|贵 族 盔 
itm_lords_helm_1_pl|贵 族 盔 
itm_lords_sugarloaf|贵 族 全 盔 
itm_lords_sugarloaf_pl|贵 族 全 盔 
itm_lord_helm_2|贵 族 头 盔 
itm_lord_helm_2_pl|贵 族 头 盔 
itm_helm_crown|劳 恩 · 列 奥 康 沃 尔 王 冠 
itm_helm_crown_pl|劳 恩 · 列 奥 康 沃 尔 王 冠 
itm_npc_knighthelm_2|阿 里 斯 蒂 德 爵 士 盔 
itm_npc_knighthelm_2_pl|阿 里 斯 蒂 德 爵 士 盔 
itm_crown_night|夜 之 王 冠 
itm_crown_night_pl|夜 之 王 冠 
itm_ashraaz|阿 什 拉 兹 之 盔 
itm_ashraaz_pl|阿 什 拉 兹 之 盔 
itm_errant_armour1|侠 义 骑 士 甲 
itm_errant_armour1_pl|侠 义 骑 士 甲 
itm_errant_armour2|侠 义 骑 士 甲 
itm_errant_armour2_pl|侠 义 骑 士 甲 
itm_knight_foot|朝 圣 者 甲 
itm_knight_foot_pl|朝 圣 者 甲 
itm_errant_helm|侠 义 骑 士 盔 
itm_errant_helm_pl|侠 义 骑 士 盔 
itm_npc_knight_2|阿 里 斯 蒂 德 爵 士 甲 
itm_npc_knight_2_pl|阿 里 斯 蒂 德 爵 士 甲 
itm_nurgle_sorcerer_small|纳 垢 盔 甲（小 型）
itm_nurgle_sorcerer_small_pl|纳 垢 盔 甲（小 型）
itm_slaanesh_sorcerer_small|色 孽 盔 甲（小 型）
itm_slaanesh_sorcerer_small_pl|色 孽 盔 甲（小 型）
itm_tzeentch_sorcerer_small|奸 奇 盔 甲（小 型）
itm_tzeentch_sorcerer_small_pl|奸 奇 盔 甲（小 型）
itm_undivided_sorcerer_small|混 沌 盔 甲（小 型）
itm_undivided_sorcerer_small_pl|混 沌 盔 甲（小 型）
itm_khorne_armour_small|恐 虐 盔 甲（小 型）
itm_khorne_armour_small_pl|恐 虐 盔 甲（小 型）
itm_nurgle_warrior_helm_small_01|纳 垢 头 盔（小 型）
itm_nurgle_warrior_helm_small_01_pl|纳 垢 头 盔（小 型）
itm_slaanesh_warrior_helm_small_01|色 孽 头 盔（小 型）
itm_slaanesh_warrior_helm_small_01_pl|色 孽 头 盔（小 型）
itm_tzeentch_warrior_helm_small_01|奸 奇 头 盔（小 型）
itm_tzeentch_warrior_helm_small_01_pl|奸 奇 头 盔（小 型）
itm_chaos_warrior_helm_small_01|混 沌 头 盔（小 型）
itm_chaos_warrior_helm_small_01_pl|混 沌 头 盔（小 型）
itm_khorne_warrior_helm_small_01|恐 虐 头 盔（小 型）
itm_khorne_warrior_helm_small_01_pl|恐 虐 头 盔（小 型）
itm_chaos_dress|混 沌 女 连 衣 裙 
itm_chaos_dress_pl|混 沌 女 连 衣 裙 
itm_chaos_dress2|混 沌 女 猎 手 甲 
itm_chaos_dress2_pl|混 沌 女 猎 手 甲 
itm_chaos_armour|混 沌 女 猎 手 首 领 甲 
itm_chaos_armour_pl|混 沌 女 猎 手 首 领 甲 
itm_chaos_armour2|混 沌 女 猎 手 首 领 重 甲 
itm_chaos_armour2_pl|混 沌 女 猎 手 首 领 重 甲 
itm_darkelf_dress|黑 暗 精 灵 连 衣 裙 
itm_darkelf_dress_pl|黑 暗 精 灵 连 衣 裙 
itm_darkelf_dress2|黑 暗 精 灵 连 衣 裙 
itm_darkelf_dress2_pl|黑 暗 精 灵 连 衣 裙 
itm_court_dress|侍 女 裙 
itm_court_dress_pl|侍 女 裙 
itm_rich_outfit|华 服 
itm_rich_outfit_pl|华 服 
itm_felt_steppe_cap|草 原 带 沿 帽 
itm_felt_steppe_cap_pl|草 原 带 沿 帽 
itm_khergit_helmet|草 原 盔 
itm_khergit_helmet_pl|草 原 盔 
itm_burlap_tunic|麻 布 短 袍 
itm_burlap_tunic_pl|麻 布 短 袍 
itm_heraldic_mail_with_surcoat|纹 章 甲 带 外 套 
itm_heraldic_mail_with_surcoat_pl|纹 章 甲 带 外 套 
itm_heraldic_mail_with_tunic|纹 章 甲 
itm_heraldic_mail_with_tunic_pl|纹 章 甲 
itm_heraldic_mail_with_tunic_b|纹 章 甲 
itm_heraldic_mail_with_tunic_b_pl|纹 章 甲 
itm_heraldic_mail_with_tabard|纹 章 甲 带 罩 袍 
itm_heraldic_mail_with_tabard_pl|纹 章 甲 带 罩 袍 
itm_turret_hat_ruby|硬 边 女 帽 
itm_turret_hat_ruby_pl|硬 边 女 帽 
itm_turret_hat_blue|硬 边 女 帽 
itm_turret_hat_blue_pl|硬 边 女 帽 
itm_turret_hat_green|炮 台 帽 
itm_turret_hat_green_pl|炮 台 帽 
itm_head_wrappings|包 头 巾 
itm_head_wrappings_pl|包 头 巾 
itm_court_hat|硬 边 女 帽 
itm_court_hat_pl|硬 边 女 帽 
itm_wimple_a|包 头 巾 
itm_wimple_a_pl|包 头 巾 
itm_wimple_with_veil|带 面 纱 头 巾 
itm_wimple_with_veil_pl|带 面 纱 头 巾 
itm_arming_cap|战 士 帽 
itm_arming_cap_pl|战 士 帽 
itm_helmet_with_neckguard|带 护 颈 盔 
itm_helmet_with_neckguard_pl|带 护 颈 盔 
itm_khergit_lady_hat|女 式 帽 
itm_khergit_lady_hat_pl|女 式 帽 
itm_khergit_lady_hat_b|女 式 皮 帽 
itm_khergit_lady_hat_b_pl|女 式 皮 帽 
itm_flat_topped_helmet|平 顶 盔 
itm_flat_topped_helmet_pl|平 顶 盔 
itm_nordic_helmet|日 尔 曼 盔 
itm_nordic_helmet_pl|日 尔 曼 盔 
itm_fur_hat|毛 皮 帽 
itm_fur_hat_pl|毛 皮 帽 
itm_nomad_cap|游 牧 帽 
itm_nomad_cap_pl|游 牧 帽 
itm_nomad_cap_b|游 牧 帽 
itm_nomad_cap_b_pl|游 牧 帽 
itm_steppe_cap|草 原 帽 
itm_steppe_cap_pl|草 原 帽 
itm_padded_coif|头 肩 巾 
itm_padded_coif_pl|头 肩 巾 
itm_felt_hat|毡 帽 
itm_felt_hat_pl|毡 帽 
itm_felt_hat_b|毡 帽 
itm_felt_hat_b_pl|毡 帽 
itm_leather_cap|皮 帽 
itm_leather_cap_pl|皮 帽 
itm_female_hood|女 士 头 巾 
itm_female_hood_pl|女 士 头 巾 
itm_leather_steppe_cap_a|草 原 帽 
itm_leather_steppe_cap_a_pl|草 原 帽 
itm_leather_steppe_cap_b|草 原 帽 
itm_leather_steppe_cap_b_pl|草 原 帽 
itm_leather_steppe_cap_c|草 原 帽 
itm_leather_steppe_cap_c_pl|草 原 帽 
itm_bascinet_2|带 面 罩 尖 顶 盔 
itm_bascinet_2_pl|带 面 罩 尖 顶 盔 
itm_bascinet_3|带 护 鼻 尖 顶 盔 
itm_bascinet_3_pl|带 护 鼻 尖 顶 盔 
itm_nordic_archer_helmet|日 耳 曼 皮 盔 
itm_nordic_archer_helmet_pl|日 耳 曼 皮 盔 
itm_nordic_veteran_archer_helmet|日 耳 曼 皮 盔 
itm_nordic_veteran_archer_helmet_pl|日 耳 曼 皮 盔 
itm_norman_helmet|诺 曼 盔 
itm_norman_helmet_pl|诺 曼 盔 
itm_nordic_huscarl_helmet|日 耳 曼 近 卫 盔 
itm_nordic_huscarl_helmet_pl|日 耳 曼 近 卫 盔 
itm_nordic_warlord_helmet|日 耳 曼 战 神 盔 
itm_nordic_warlord_helmet_pl|日 耳 曼 战 神 盔 
itm_vaegir_fur_cap|毛 皮 盔 
itm_vaegir_fur_cap_pl|毛 皮 盔 
itm_vaegir_lamellar_helmet|鳞 片 护 甲 盔 
itm_vaegir_lamellar_helmet_pl|鳞 片 护 甲 盔 
itm_vaegir_war_helmet|战 盔 
itm_vaegir_war_helmet_pl|战 盔 
itm_woolen_hood|羊 毛 风 帽 
itm_woolen_hood_pl|羊 毛 风 帽 
itm_leather_warrior_cap|皮 勇 士 帽 
itm_leather_warrior_cap_pl|皮 勇 士 帽 
itm_skullcap|无 边 盔 
itm_skullcap_pl|无 边 盔 
itm_nordic_footman_helmet|日 耳 曼 步 兵 盔 
itm_nordic_footman_helmet_pl|日 耳 曼 步 兵 盔 
itm_nordic_fighter_helmet|日 耳 曼 斗 士 盔 
itm_nordic_fighter_helmet_pl|日 耳 曼 斗 士 盔 
itm_straw_hat|草 帽 
itm_straw_hat_pl|草 帽 
itm_headcloth|包 头 巾 
itm_headcloth_pl|包 头 巾 
itm_woolen_cap|羊 毛 帽 
itm_woolen_cap_pl|羊 毛 帽 
itm_common_hood|风 帽 
itm_common_hood_pl|风 帽 
itm_hood_b|风 帽 
itm_hood_b_pl|风 帽 
itm_hood_c|风 帽 
itm_hood_c_pl|风 帽 
itm_hood_d|风 帽 
itm_hood_d_pl|风 帽 
itm_mail_coif|链 甲 头 肩 巾 
itm_mail_coif_pl|链 甲 头 肩 巾 
itm_kettle_hat|锅 盔 
itm_kettle_hat_pl|锅 盔 
itm_guard_helmet|护 盔 
itm_guard_helmet_pl|护 盔 
itm_spiked_helmet|锥 顶 头 盔 
itm_spiked_helmet_pl|锥 顶 头 盔 
itm_footman_helmet|步 兵 盔 
itm_footman_helmet_pl|步 兵 盔 
itm_segmented_helmet|组 合 盔 
itm_segmented_helmet_pl|组 合 盔 
itm_full_helm|覆 面 盔 
itm_full_helm_pl|覆 面 盔 
itm_great_helmet|巨 盔 
itm_great_helmet_pl|巨 盔 
itm_winged_great_helmet|带 翼 巨 盔 
itm_winged_great_helmet_pl|带 翼 巨 盔 
itm_bascinet|尖 顶 盔 
itm_bascinet_pl|尖 顶 盔 
itm_black_helmet|黑 盔 
itm_black_helmet_pl|黑 盔 
itm_strange_armor|骑 马 武 士 甲
itm_strange_armor_pl|骑 马 武 士 甲
itm_strange_boots|奇 形 靴 
itm_strange_boots_pl|奇 形 靴 
itm_strange_helmet|骑 马 武 士 盔
itm_strange_helmet_pl|骑 马 武 士 盔
itm_light_leather|轻 皮 甲 
itm_light_leather_pl|轻 皮 甲 
itm_light_leather_boots|轻 皮 靴 
itm_light_leather_boots_pl|轻 皮 靴 
itm_byzantion_helmet_a|拜 占 庭 盔 
itm_byzantion_helmet_a_pl|拜 占 庭 盔 
itm_magyar_helmet_a|马 扎 尔 盔 
itm_magyar_helmet_a_pl|马 扎 尔 盔 
itm_rus_helmet_a|罗 斯 盔 
itm_rus_helmet_a_pl|罗 斯 盔 
itm_sipahi_helmet_a|西 帕 希 盔 
itm_sipahi_helmet_a_pl|西 帕 希 盔 
itm_rabati|拉 巴 特 盔 
itm_rabati_pl|拉 巴 特 盔 
itm_bride_dress|新 娘 装 
itm_bride_dress_pl|新 娘 装 
itm_bride_crown|花 冠 
itm_bride_crown_pl|花 冠 
itm_bride_shoes|新 娘 鞋 
itm_bride_shoes_pl|新 娘 鞋 
itm_flower_crown|花 冠 
itm_flower_crown_pl|花 冠 
itm_mail_boots_for_tableau|链 甲 靴 
itm_mail_boots_for_tableau_pl|链 甲 靴 
itm_empire_hat|弩 兵 加 固 帽 
itm_empire_hat_pl|弩 兵 加 固 帽 
itm_empire_hat_two|弩 兵 加 固 帽 
itm_empire_hat_two_pl|弩 兵 加 固 帽 
itm_empire_hat_three|弩 兵 加 固 帽 
itm_empire_hat_three_pl|弩 兵 加 固 帽 
itm_empire_hat_four|弩 兵 加 固 帽 
itm_empire_hat_four_pl|弩 兵 加 固 帽 
itm_hunter_hat1|帝 国 猎 人 帽 
itm_hunter_hat1_pl|帝 国 猎 人 帽 
itm_hunter_hat2|帝 国 猎 人 帽 
itm_hunter_hat2_pl|帝 国 猎 人 帽 
itm_hunter_hat3|帝 国 猎 人 帽 
itm_hunter_hat3_pl|帝 国 猎 人 帽 
itm_hunter_hat4|帝 国 猎 人 帽 
itm_hunter_hat4_pl|帝 国 猎 人 帽 
itm_deaths_head_helm|死 亡 之 颅 盔 
itm_deaths_head_helm_pl|死 亡 之 颅 盔 
itm_deaths_head_helm2|死 亡 之 颅 盔 
itm_deaths_head_helm2_pl|死 亡 之 颅 盔 
itm_deaths_head_helm3|死 亡 之 颅 盔 
itm_deaths_head_helm3_pl|死 亡 之 颅 盔 
itm_deaths_head_helm4|死 亡 之 颅 盔 
itm_deaths_head_helm4_pl|死 亡 之 颅 盔 
itm_crossbow_hat1|帝 国 弩 兵 帽 
itm_crossbow_hat1_pl|帝 国 弩 兵 帽 
itm_crossbow_hat2|帝 国 弩 兵 帽 
itm_crossbow_hat2_pl|帝 国 弩 兵 帽 
itm_crossbow_hat3|帝 国 弩 兵 帽 
itm_crossbow_hat3_pl|帝 国 弩 兵 帽 
itm_crossbow_hat4|帝 国 弩 兵 帽 
itm_crossbow_hat4_pl|帝 国 弩 兵 帽 
itm_leitdorf_hat|马 吕 斯 · 雷 道 夫 帽 
itm_leitdorf_hat_pl|马 吕 斯 · 雷 道 夫 帽 
itm_handgun_hat1|帝 国 枪 手 帽 
itm_handgun_hat1_pl|帝 国 枪 手 帽 
itm_handgun_hat2|帝 国 枪 手 帽 
itm_handgun_hat2_pl|帝 国 枪 手 帽 
itm_handgun_hat3|帝 国 枪 手 帽 
itm_handgun_hat3_pl|帝 国 枪 手 帽 
itm_handgun_hat4|帝 国 枪 手 帽 
itm_handgun_hat4_pl|帝 国 枪 手 帽 
itm_sharpshooter_hat1|神 枪 手 加 固 帽 
itm_sharpshooter_hat1_pl|神 枪 手 加 固 帽 
itm_sharpshooter_hat2|神 枪 手 加 固 帽 
itm_sharpshooter_hat2_pl|神 枪 手 加 固 帽 
itm_sharpshooter_hat3|神 枪 手 加 固 帽 
itm_sharpshooter_hat3_pl|神 枪 手 加 固 帽 
itm_sharpshooter_hat4|神 枪 手 加 固 帽 
itm_sharpshooter_hat4_pl|神 枪 手 加 固 帽 
itm_greatsword_hat|帝 国 大 剑 士 盔 
itm_greatsword_hat_pl|帝 国 大 剑 士 盔 
itm_greatsword_hat2|帝 国 大 剑 士 盔 
itm_greatsword_hat2_pl|帝 国 大 剑 士 盔 
itm_greatsword_hat3|帝 国 大 剑 士 盔 
itm_greatsword_hat3_pl|帝 国 大 剑 士 盔 
itm_greatsword_hat4|帝 国 大 剑 士 盔 
itm_greatsword_hat4_pl|帝 国 大 剑 士 盔 
itm_carroburg_hat|卡 隆 堡 巨 剑 士 帽 
itm_carroburg_hat_pl|卡 隆 堡 巨 剑 士 帽 
itm_ferlangen_hat1|神 枪 手 加 固 帽 
itm_ferlangen_hat1_pl|神 枪 手 加 固 帽 
itm_ferlangen_hat2|神 枪 手 加 固 帽 
itm_ferlangen_hat2_pl|神 枪 手 加 固 帽 
itm_todbringer_helm|鲍 里 斯 · 托 德 布 林 格 盔 
itm_todbringer_helm_pl|鲍 里 斯 · 托 德 布 林 格 盔 
itm_reinforcedhat|帝 国 加 固 帽 
itm_reinforcedhat_pl|帝 国 加 固 帽 
itm_spear_helmet|帝 国 锅 盔 
itm_spear_helmet_pl|帝 国 锅 盔 
itm_spear_helmet2|帝 国 盔 
itm_spear_helmet2_pl|帝 国 盔 
itm_horsemaster_helmet|马 术 大 师 加 固 盔 
itm_horsemaster_helmet_pl|马 术 大 师 加 固 盔 
itm_aldebrand_helmet|艾 德 布 兰  德 · 鲁 登 霍 夫 盔 
